step,param,drive,steering,spatula,shooter,fire,grabber_override,Autosteer,comments
1,1000,0,0,0,1,0,0,0,Get the wheels up to speed
1,100,0,0,0,1,1,0,0,Fire
1,700,0,0,0,1,0,0,0,
1,100,0,0,0,1,1,0,0,Fire
1,700,0,0,0,1,0,0,0,
1,100,0,0,0,1,1,0,0,Fire
1,700,0,0,0,1,0,0,0,
1,250,0,0,0,1,0,0,0,Wait for a bit so we don't mess with the shot
4,0,0,0,1,0,0,0,0,Lower spatula
1,500,-0.5,0,1,0,0,0,0,Back up slightly
1,1200,0.6,0,1,0,0,0,0,Get Frisbees
5,0,0,0,0,0,0,0,0,Spatula up
1,2000,0,0,0,0,0,0,0,Give the Frisbees time to settle
1,1000,-0.65,0,1,1,0,0,0,Back up to shoot and lower spatula
1,500,0,0,0,1,0,0,0,Stop driving
1,1000,0,0,0,1,0,0,0,Get the wheels up to speed
1,100,0,0,0,1,1,0,0,Fire
1,700,0,0,0,1,0,0,0,
1,100,0,0,0,1,1,0,0,Fire
1,700,0,0,0,1,0,0,0,
1,250,0,0,1,1,0,0,0,Wait just a little bit to make sure we don't interfere with the shot
0,0,0,0,1,0,0,0,0,Stop all
